Location [Note 1],1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020,To CIA estimates
Luxembourg *,43.93,36.92,29.23,20.88,17.86,13.17,11.98,9.0,7.25,4.86,4.96,2.33,3.41,2.87,<-
Belarus *,95.38,56.61,37.67,25.8,21.17,21.89,19.52,16.38,15.1,14.89,9.59,6.27,3.43,2.97,<-
Austria *,53.14,42.35,31.85,26.1,23.78,16.24,12.2,9.15,6.88,4.74,4.47,3.76,3.33,3.15,<-
France *,44.22,32.51,24.88,20.36,15.76,11.54,9.28,7.91,6.55,4.71,4.19,3.72,3.49,3.03,<-
Germany *,46.36,38.54,30.23,22.61,20.8,15.52,11.07,8.28,5.99,4.76,4.15,3.66,3.36,3.19,<-
Denmark *,27.71,23.25,20.17,15.77,12.09,8.91,7.83,8.01,6.25,4.92,4.55,3.73,3.51,3.13,<-
Australia *,23.68,21.35,19.52,18.23,16.42,12.27,9.96,8.66,6.51,5.46,4.94,4.41,3.63,3.11,<-
Réunion * (France),141.65,109.35,82.0,61.26,45.68,34.02,25.28,18.77,13.91,10.3,7.62,5.63,4.2,2.67,<-
Montenegro *,120.01,104.22,71.88,49.57,33.05,28.5,25.8,21.5,17.92,11.58,11.57,10.9,4.27,2.76,<-
Switzerland *,29.04,23.53,20.92,16.81,13.68,9.7,7.79,7.03,6.06,4.78,4.55,4.21,3.89,3.37,<-
Poland *,78.85,59.16,49.67,36.37,31.67,27.31,23.74,20.31,16.35,10.11,7.11,5.66,4.4,3.28,<-
Cyprus *,64.95,51.1,40.15,31.47,24.69,19.3,15.09,11.79,9.18,7.15,5.59,4.35,4.19,3.54,<-
United Kingdom *,28.24,24.01,22.88,18.83,16.99,13.83,10.55,8.98,6.68,5.84,5.3,4.83,4.06,3.76,<-
Taiwan *,78.79,57.25,48.0,40.35,14.54,11.15,8.46,5.93,5.39,6.8,6.05,5.16,4.23,3.71,<-
New Zealand *,26.56,23.95,20.64,17.9,15.96,13.6,11.82,10.49,7.36,6.2,5.4,4.95,4.37,3.8,<-
Croatia *,95.51,70.78,49.7,34.94,25.38,21.89,18.24,13.52,10.21,7.11,6.52,5.75,4.26,4.0,<-
Mayotte (France),142.6,109.06,82.07,61.24,45.68,34.01,25.28,18.76,13.91,10.3,7.62,5.63,4.2,4.2,<-
Lithuania *,107.49,63.82,42.61,27.04,22.05,22.44,18.33,14.91,16.47,11.01,7.66,5.97,4.36,4.04,<-
Latvia *,76.66,45.32,30.2,22.3,20.0,22.83,18.48,14.56,17.55,15.72,9.94,7.8,5.15,3.34,<-
Hungary *,71.87,54.73,42.98,37.23,34.92,25.8,20.01,17.03,13.18,9.59,7.44,5.65,4.96,4.05,<-
Canada *,37.82,32.0,25.97,20.88,16.27,12.23,8.99,7.4,6.24,5.36,5.27,5.11,4.65,4.51,<-
Cuba *,80.59,69.72,59.37,49.61,38.38,22.35,17.62,13.0,9.94,7.98,6.13,5.34,4.8,4.49,<-
Slovakia *,74.09,38.09,26.54,25.3,24.59,22.17,17.93,13.87,11.58,9.03,7.27,6.2,5.42,4.76,<-
Guadeloupe (France),80.24,64.86,51.98,41.67,33.45,26.82,21.4,17.16,13.72,10.98,8.77,7.0,5.81,4.64,<-
Malta *,68.24,40.2,32.24,27.19,20.57,15.17,12.4,9.92,8.51,6.91,5.71,5.59,5.49,4.97,<-
Serbia *,117.49,103.12,87.94,68.59,50.82,40.15,34.76,22.37,17.17,16.09,9.52,7.07,6.07,4.9,<-
United States *,30.16,27.18,25.14,22.33,17.81,14.07,11.43,10.27,8.67,7.44,6.99,6.78,5.96,5.82,<-
Puerto Rico (US),63.35,51.38,44.76,33.27,25.29,19.66,17.19,13.79,11.59,10.95,8.01,7.19,6.37,5.45,<-
Antigua and Barbuda,77.56,63.94,49.78,41.66,39.23,36.78,34.33,28.4,20.62,15.13,11.48,8.95,6.79,5.2,<-
Martinique (France),80.83,66.37,54.53,44.59,35.42,27.87,22.05,17.37,13.67,10.78,8.5,7.57,6.43,5.57,<-
United Arab Emirates *,180.61,149.39,117.37,86.6,57.82,37.01,23.72,16.63,12.66,10.45,9.0,7.71,6.5,5.52,<-
